Theta, Alpha, Low_beta, High_beta, Gamma 
1.200552185,0.285582209,0.156017534,0.170899593,0.068490226
0.516064184,0.307875067,0.17514518,0.178147225,0.117444374
0.837584541,0.396458537,0.230964348,0.104054734,0.061101294
1.393319911,0.540141312,0.5058783,0.160964538,0.153274782
1.411601891,0.488961625,0.410377115,0.15761768,0.06869333
1.533018219,0.211421556,0.171384669,0.187346201,0.054813808
0.810084711,0.365755926,0.114586864,0.118299009,0.102656478
0.946769969,0.157009283,0.054014935,0.116063087,0.051548089
1.578711711,0.767978142,0.62170972,0.149254087,0.101833963
1.780013234,0.585308128,0.363718358,0.252741792,0.07243278
1.533018219,0.211421556,0.171384669,0.187346201,0.054813808
0.810084711,0.365755926,0.114586864,0.118299009,0.102656478
0.946769969,0.157009283,0.054014935,0.116063087,0.051548089
1.578711711,0.767978142,0.62170972,0.149254087,0.101833963
1.780013234,0.585308128,0.363718358,0.252741792,0.07243278
1.533018219,0.211421556,0.171384669,0.187346201,0.054813808
0.810084711,0.365755926,0.114586864,0.118299009,0.102656478
0.946769969,0.157009283,0.054014935,0.116063087,0.051548089
1.578711711,0.767978142,0.62170972,0.149254087,0.101833963
1.780013234,0.585308128,0.363718358,0.252741792,0.07243278
1.030106655,0.206852701,0.216460537,0.099636146,0.04851309
0.646012449,0.417483492,0.070878083,0.06319157,0.073712068
0.555304432,0.27663733,0.093421234,0.099042592,0.047255381
0.971466351,0.545657564,0.719180319,0.197230907,0.099560533
1.378415136,0.315754727,0.296661902,0.162932323,0.066332612
1.030106655,0.206852701,0.216460537,0.099636146,0.04851309
0.646012449,0.417483492,0.070878083,0.06319157,0.073712068
0.555304432,0.27663733,0.093421234,0.099042592,0.047255381
0.971466351,0.545657564,0.719180319,0.197230907,0.099560533
1.378415136,0.315754727,0.296661902,0.162932323,0.066332612
1.030106655,0.206852701,0.216460537,0.099636146,0.04851309
0.646012449,0.417483492,0.070878083,0.06319157,0.073712068
0.555304432,0.27663733,0.093421234,0.099042592,0.047255381
0.971466351,0.545657564,0.719180319,0.197230907,0.099560533
1.378415136,0.315754727,0.296661902,0.162932323,0.066332612
1.030106655,0.206852701,0.216460537,0.099636146,0.04851309
0.646012449,0.417483492,0.070878083,0.06319157,0.073712068
0.555304432,0.27663733,0.093421234,0.099042592,0.047255381
0.971466351,0.545657564,0.719180319,0.197230907,0.099560533
1.378415136,0.315754727,0.296661902,0.162932323,0.066332612
0.997173126,0.299622188,0.203337728,0.054292089,0.05556652
0.868272624,0.542707076,0.17021599,0.084278821,0.124662143
0.73055881,0.418826445,0.177133296,0.099684676,0.06917871
0.500036846,0.485158485,0.547289659,0.29816028,0.109078594
1.248468297,0.529043648,0.290360468,0.131971307,0.096401461
0.997173126,0.299622188,0.203337728,0.054292089,0.05556652
0.868272624,0.542707076,0.17021599,0.084278821,0.124662143
0.73055881,0.418826445,0.177133296,0.099684676,0.06917871
0.500036846,0.485158485,0.547289659,0.29816028,0.109078594
1.248468297,0.529043648,0.290360468,0.131971307,0.096401461
2.730962335,0.459996406,0.275481147,0.106262453,0.083364466
4.298822295,0.593115762,0.43034059,0.143587938,0.165893951
2.718312107,0.475217095,0.305204038,0.141545924,0.120416459
1.408791166,0.324336359,0.496777045,0.355708029,0.099173324
2.537174754,0.646344815,0.35115763,0.200654591,0.105758288
3.054338458,0.469240585,0.294601426,0.113159718,0.084487148
3.680570524,0.61433204,0.387383647,0.1385471,0.120606266
2.084455975,0.939894383,0.376482896,0.184395867,0.108870754
1.544015059,0.325709591,0.441965335,0.176264945,0.057878823
3.190080507,0.452661523,0.359009849,0.240005882,0.076340286
1.60571163,0.260300706,0.192051712,0.07912389,0.066679184
0.764101665,0.523599121,0.297209952,0.07666553,0.094029851
0.929586008,0.934749231,0.520749769,0.204531107,0.06571708
1.046414912,0.307893933,0.390661563,0.106954909,0.040959155
2.052907973,0.263819106,0.308875381,0.121029527,0.051756992
0.682934131,0.164145888,0.10553375,0.108267472,0.050782207
0.399914016,0.325869778,0.108074602,0.063984493,0.074827526
0.555763101,0.389947525,0.160043527,0.090997389,0.043741898
0.355260226,0.189599936,0.241158691,0.106373301,0.043581687
0.811814191,0.495359282,0.238402169,0.163496636,0.058945261
0.616227318,0.546486675,0.369003371,0.144669812,0.062569535
0.469037806,0.352329299,0.169252144,0.107793665,0.062560807
0.890990566,0.387347483,0.33052222,0.111534526,0.03889611
0.999811012,0.48395508,0.566744821,0.087190415,0.046027964
0.786608012,0.940690436,0.510648132,0.18504846,0.107404353
0.604419453,0.746503178,0.61157275,0.180219284,0.06590639
0.543575132,0.201331787,0.220849109,0.077105718,0.063905776
1.087779862,0.535944952,0.58828794,0.173006071,0.045094742
1.823338221,0.681040897,0.822345471,0.127283484,0.055468082
0.997521651,0.819455138,0.753366679,0.150131428,0.117404712
0.450050625,0.342979425,0.217096377,0.106364602,0.052300898
0.361982362,0.266767964,0.303201914,0.076980396,0.046799969
0.613099661,0.435311213,0.207537384,0.120512227,0.059717579
0.989562152,0.30572707,0.276538573,0.105379217,0.064034084
0.797635411,0.288861849,0.218371838,0.11723782,0.072091614
0.450050625,0.342979425,0.217096377,0.106364602,0.052300898
0.361982362,0.266767964,0.303201914,0.076980396,0.046799969
0.613099661,0.435311213,0.207537384,0.120512227,0.059717579
0.989562152,0.30572707,0.276538573,0.105379217,0.064034084
0.797635411,0.288861849,0.218371838,0.11723782,0.072091614
0.614661151,0.303144838,0.169430247,0.085856884,0.063029847
0.58412285,0.44288551,0.454553797,0.053634604,0.045815114
0.3564333,0.23319082,0.080015494,0.097110915,0.056789639
0.568356551,0.32488138,0.174985961,0.11215563,0.08918077
0.808822203,0.370354839,0.203941042,0.089753773,0.077852651
0.614661151,0.303144838,0.169430247,0.085856884,0.063029847
0.58412285,0.44288551,0.454553797,0.053634604,0.045815114
0.3564333,0.23319082,0.080015494,0.097110915,0.056789639
0.568356551,0.32488138,0.174985961,0.11215563,0.08918077
0.808822203,0.370354839,0.203941042,0.089753773,0.077852651
0.532775974,0.366975527,0.22972408,0.123029108,0.062267933
0.572748001,0.306615081,0.155482092,0.095755995,0.053498891
0.141166814,0.095583645,0.122317527,0.113562767,0.046286402
0.398935063,0.412727302,0.195692178,0.12940791,0.060171332
0.873844523,0.49382187,0.264541013,0.172827931,0.08003337
0.397748316,0.326495406,0.204513948,0.131151859,0.066508782
0.418798384,0.257420948,0.09234522,0.085185253,0.058345978
0.136480099,0.172564643,0.184695493,0.091681405,0.056795676
0.320370493,0.461218141,0.200983289,0.132298658,0.071907869
0.827600358,0.630698859,0.137048494,0.201006818,0.079360502
0.846338493,0.535908456,0.241245502,0.18879102,0.077320023
0.486128708,0.253795786,0.101118119,0.058381805,0.048861525
0.237295182,0.311768214,0.410494316,0.085086485,0.049828021
0.301791027,0.310363772,0.233581984,0.152271628,0.078816894
1.212119509,1.096326777,0.172800247,0.176173484,0.062292973
0.645452386,0.464406065,0.224230686,0.141254185,0.062579659
0.764714737,0.354991952,0.14380573,0.077792729,0.045646701
0.219903746,0.35302712,0.413617743,0.07557614,0.045298323
0.238959444,0.164150069,0.187961655,0.153226861,0.056891663
1.026930119,0.669065315,0.193359385,0.181987871,0.068385538
0.622305328,0.243167953,0.118979855,0.088381261,0.060816487
0.6673244,0.568547968,0.121465555,0.074004594,0.043522041
0.182793792,0.298513564,0.147743442,0.090490738,0.041502872
0.351060878,0.258497762,0.140019663,0.095467402,0.054269028
0.684122309,0.342659638,0.174355419,0.188979286,0.083583841
0.622305328,0.243167953,0.118979855,0.088381261,0.060816487
0.6673244,0.568547968,0.121465555,0.074004594,0.043522041
0.182793792,0.298513564,0.147743442,0.090490738,0.041502872
0.351060878,0.258497762,0.140019663,0.095467402,0.054269028
0.684122309,0.342659638,0.174355419,0.188979286,0.083583841
0.788112338,0.210488138,0.225797618,0.114524181,0.073567336
0.41265123,0.451284302,0.260136104,0.080707503,0.035873452
0.22620122,0.187998074,0.15904418,0.121937491,0.03202959
0.496681279,0.240947523,0.263508771,0.093410827,0.063933069
0.650167717,0.3433281,0.232943016,0.154943633,0.053049161
0.527663904,0.090231085,0.410586046,0.115889783,0.073614785
0.326584608,0.219380199,0.604113549,0.133546153,0.058752877
0.190810997,0.295930559,0.376355107,0.083772058,0.042706641
0.490318501,0.317720826,0.673625858,0.102203041,0.07041156
0.521512351,0.404632638,0.480375711,0.131548232,0.081353623
0.823219097,0.153403922,0.348276534,0.122536009,0.071946653
0.311480836,0.1850164,0.406957145,0.085805477,0.068663511
0.565925872,0.32241955,0.352063392,0.068391905,0.068837612
0.901432397,0.569238942,0.664483045,0.096169821,0.0636116
1.673809905,1.303616512,0.820803045,0.258521281,0.138900074
0.793382766,0.342347976,0.256906444,0.109199156,0.081002204
0.379412432,0.167395718,0.14629721,0.059860968,0.048464625
0.57901261,0.266038355,0.195375544,0.073465122,0.063126706
0.995827794,0.509408964,0.323406826,0.112873923,0.064574047
1.489259441,1.010095187,0.621580924,0.252021076,0.107300868
0.38675084,0.323930279,0.305716539,0.152769113,0.086448533
0.450039632,0.170626512,0.207158784,0.097673814,0.054776461
0.22142415,0.222744744,0.118685259,0.093743227,0.061691895
0.56082191,0.176036001,0.150740685,0.121905622,0.059903702
0.563904199,0.350551835,0.398908971,0.272222549,0.100922241
0.614448416,0.379810242,0.587788763,0.167340369,0.075362362
0.556463246,0.17905919,0.273320492,0.11722623,0.045638812
0.30625377,0.307828327,0.155825769,0.130570427,0.076259144
0.562783906,0.318675137,0.285475882,0.146634106,0.057297499
0.742595782,0.658429764,0.510488177,0.28404648,0.108522793
0.539609303,0.53956542,0.841680756,0.201783849,0.073119912
0.429170522,0.081297542,0.175323752,0.119261076,0.035055455
0.326870834,0.309416818,0.191062113,0.148383277,0.076398061
0.97406717,0.77718186,0.639648268,0.127333448,0.068108011
0.647093575,0.964945856,0.736875801,0.213915244,0.102287204
0.922819539,0.571385347,0.553824425,0.140654441,0.0719518
0.567322192,0.208597497,0.140995216,0.108319343,0.036559161
0.445757395,0.327223609,0.244476003,0.107774301,0.047226747
0.934181718,0.697985144,0.379993927,0.082291964,0.073135326
0.88916099,0.65253221,0.541955635,0.125904407,0.069701057
1.031510878,0.31189765,0.090803568,0.112536088,0.071484561
1.037286495,0.414437214,0.163314485,0.056358276,0.039519009
0.545384748,0.172576464,0.13831442,0.084187342,0.045282548
0.428145292,0.400963374,0.23657863,0.1317378,0.045619459
1.002466313,0.360196999,0.139225991,0.138818788,0.068798841
0.605371179,0.265064059,0.093997511,0.164338295,0.058871443
0.590656496,0.188434426,0.235820898,0.038550419,0.055435424
0.657893486,0.23406,0.11423839,0.073957573,0.052473994
0.258766566,0.165808961,0.124072014,0.106806659,0.035882082
0.910455733,0.233098786,0.08828987,0.210940185,0.068935802
0.537269063,0.303433439,0.199937911,0.094205592,0.069643581
0.379169345,0.095081427,0.238027065,0.040836708,0.044600177
0.741174232,0.483007375,0.268233377,0.095910554,0.071687115
0.163868934,0.186596885,0.108498025,0.068201013,0.074734799
0.588397712,0.299946327,0.172916656,0.127530722,0.055003041
0.570680224,0.151893962,0.162775171,0.140186796,0.066611126
0.505771479,0.096473693,0.107848035,0.027263104,0.036021997
0.662568555,0.302089104,0.317709667,0.090516745,0.069462609
0.512994314,0.185710071,0.222339441,0.087470776,0.069039134
0.626643765,0.217132218,0.222725249,0.168429781,0.055517378
0.793953712,0.227843295,0.138352359,0.129733551,0.062872242
0.525184043,0.145167849,0.084212263,0.045322553,0.040144346
0.784198209,0.147572823,0.325429384,0.105871269,0.078680687
0.66240755,0.275574775,0.180447787,0.107474441,0.060482751
0.798273802,0.297839622,0.179382674,0.167021997,0.066363052
0.616846473,0.275295021,0.271091037,0.074890571,0.067388393
0.267883762,0.263232556,0.241786356,0.07781805,0.049107613
0.566558033,0.071286482,0.199828273,0.099306329,0.099421604
0.414107646,0.301944351,0.431651434,0.08191554,0.059733386
0.782258647,0.336119205,0.279457909,0.135485293,0.065483705
0.938948923,0.631376578,0.760352184,0.086192088,0.081873081
0.287185417,0.196343225,0.60545596,0.101986145,0.049419842
0.24977959,0.136346152,0.509748958,0.09341913,0.073379427
0.349052002,0.427468944,1.053863256,0.152969605,0.062734209
1.038096089,0.547897655,0.772779649,0.180769778,0.079350108
0.73385821,0.352421625,0.761586921,0.059297828,0.050223961
0.338690475,0.120456727,0.38897992,0.126576055,0.063527227
0.234358346,0.28652438,0.570728508,0.109754755,0.040312607
0.249940085,0.225925964,0.739418277,0.129963118,0.07062225
0.970207101,0.338597551,0.670992281,0.095562439,0.066097028
0.61455036,0.240161247,0.27386733,0.088559871,0.054608061
0.381218521,0.058666519,0.106488297,0.091019284,0.071089285
0.238601741,0.192946291,0.262021346,0.113922124,0.041796646
0.461206942,0.12724949,0.280436718,0.072411129,0.061985689
0.539650469,0.309157058,0.252825494,0.082632265,0.054397226
0.987016373,0.317947154,0.245568478,0.114899238,0.041082296
0.274219898,0.148991979,0.096739422,0.062419062,0.065680101
0.206024599,0.115802566,0.193376315,0.103648065,0.049863624
0.747778258,0.443007098,1.062626701,0.068962944,0.044457883
1.113685871,0.290499252,0.424335884,0.138343755,0.06131701
0.798606389,0.282802488,0.452169213,0.110710256,0.054977319
0.457681021,0.405373328,0.422118352,0.100091974,0.064495981
0.367939371,0.201830098,0.213483209,0.10463082,0.033672455
0.479434211,0.628132447,0.96218578,0.102229048,0.051588317
1.199252215,0.253877416,0.449018606,0.150013505,0.092520161
0.96274146,0.31408706,0.276845241,0.136261254,0.083448669
0.676827852,0.36458002,0.371871544,0.095353911,0.050468746
0.485881271,0.308275134,0.246943448,0.107239293,0.038657681
0.573273836,0.313354609,0.269969811,0.073436601,0.053927913
1.580331493,0.351935429,0.242046393,0.209047305,0.131144908
1.135314618,0.264460233,0.203667536,0.142216008,0.061431543
0.698733236,0.207157651,0.115055777,0.063556001,0.040171846
0.491447017,0.205488563,0.140824354,0.072938762,0.056446215
